"name","install_count","play_store_years_estimate","app_store_years_estimate","play_store_app_lifetime_income","app_store_app_lifetime_income","total_lifetime_cost","both_store_total_lifetime_income"
"Angry Birds Blast","10,000,000+","9","9","540000","540000","118000","1080000"
"Angry Birds Epic RPG","10,000,000+","9","9","540000","540000","118000","1080000"
"ASOS","10,000,000+","9","10","540000","600000","118000","1140000"
"Chase Mobile","10,000,000+","9","9","540000","540000","118000","1080000"
"Discord - Chat for Gamers","10,000,000+","9","9","540000","540000","118000","1080000"
"Disney Crossy Road","10,000,000+","9","9","540000","540000","118000","1080000"
"Domino's Pizza USA","10,000,000+","9","10","540000","600000","118000","1140000"
"DoorDash - Food Delivery","1,000,000+","9","9","540000","540000","118000","1080000"
"Dude Perfect","10,000+","9","9","540000","540000","118000","1080000"
"Dude Perfect 2","10,000,000+","9","9","540000","540000","118000","1080000"
"Egg, Inc.","5,000,000+","9","10","540000","600000","118000","1140000"
"Fishdom","10,000,000+","9","9","540000","540000","118000","1080000"
"Fuel RewardsÂ® program","1,000,000+","9","9","540000","540000","118000","1080000"
"Geometry Dash World","10,000,000+","9","9","540000","540000","118000","1080000"
"GroupMe","10,000,000+","9","9","540000","540000","118000","1080000"
"Hot Wheels: Race Off","10,000,000+","9","9","540000","540000","118000","1080000"
"My Horse","10,000,000+","9","9","540000","540000","118000","1080000"
"Nyan Cat: Lost In Space","10,000,000+","9","9","540000","540000","118000","1080000"
"Real Basketball","10,000,000+","9","9","540000","540000","118000","1080000"
"Real Racing 3","10,000,000+","9","9","540000","540000","118000","1080000"
"Seven - 7 Minute Workout Training Challenge","1,000,000+","9","9","540000","540000","118000","1080000"
"Solitaire","10,000,000+","9","9","540000","540000","118000","1080000"
"Solitaire","10,000,000+","9","9","540000","540000","118000","1080000"
"Starbucks","10,000,000+","9","9","540000","540000","118000","1080000"
"Trello","5,000,000+","9","9","540000","540000","118000","1080000"
